,name,top1,top5
1503,"(1,2,3,8,9,10,11)",0.68164,0.88074
1504,"(0,1,3,4,7,9,10,12,13)",0.67444,0.87442
1505,"(0,1,2,3,5,9,11,12,13,14)",0.67334,0.87486
1506,"(0,2,3,4,8,10,11,12,13)",0.6773,0.87746
1507,"(0,1,3,4,6,8,9,10,12)",0.67518,0.87564
1508,"(0,1,5,6,8,14)",0.67688,0.87752
1509,"(2,4,5,6,7,12,13,14)",0.6827,0.88014
1510,"(0,1,5,7,10,13)",0.677,0.87686
1511,"(0,1,2,5,6,8,12)",0.67488,0.87604
1512,"(4,5,8,9,11)",0.68434,0.88234
1513,"(5,6,14)",0.6837,0.88252
1514,"(0,1,2,3,4,7,8,13,14)",0.67392,0.87588
1515,"(7,8,12,13,14)",0.68336,0.88178
1516,"(0,1,2,5,7,10,11,12,13)",0.67564,0.87498
1517,"(0,2,3,7,9,11,12,13)",0.67634,0.87668
1518,"(1,4,8,9,11,14)",0.68266,0.88108
1519,"(1,2,5,6,11,12)",0.68286,0.8808
1520,"(0,1,4,7,9,10,11,14)",0.67532,0.87554
1521,"(0,1,3,5,8,10,14)",0.67624,0.87684
1522,"(1,3,5,7,8,9,12,13)",0.6819,0.88112
1523,"(1,3,5,6,7,9,10)",0.68164,0.88044
1524,"(0,1,2,3,5,6,9,10,11,12,13,14)",0.67374,0.87432
1525,"(0,4,6,7,8,12,14)",0.67838,0.87848
1526,"(7,8,9,10,11,13,14)",0.68316,0.88136
1527,"(0,2,3,6,7,9,14)",0.67676,0.8772
1528,"(0,2,7,8,9,10,14)",0.6779,0.8773
1529,"(1,2,8,9,13,14)",0.68246,0.88126
1530,"(3,4,5,6,8,9,12,13,14)",0.68302,0.88118
1531,"(4,7,9,10,11,12,13)",0.68288,0.88084
1532,"(4,9,12,13)",0.68382,0.88158
1533,"(0,1,3,4,5,6,7,8,9,10,11,12,13)",0.67546,0.8746
1534,"(0,1,2,4,6,8,10,11,13)",0.675,0.87558
1535,"(8,9,12,13,14)",0.68334,0.88144
1536,"(1,2,5,7,9,11,13)",0.68276,0.8801
1537,"(1,2,3,7,8,9,10,12,13)",0.68218,0.87978
1538,"(1,2,3,6,9,10,11,12,13,14)",0.68124,0.87928
1539,"(1,2,4,5,6,7,8,10,12)",0.68144,0.87966
1540,"(1,4,6,14)",0.6824,0.88124
1541,"(0,1,2,3,6,7,8,10,11,12)",0.67372,0.875
1542,"(0,2,3,4,6,7,8,9)",0.67652,0.87708
1543,"(0,1,2,4,7,8,10,12)",0.67428,0.87482
1544,"(0,1,3,4,5,6,7,8,10,13)",0.6747,0.8761
1545,"(1,2,4,5,10,12)",0.68238,0.88076
1546,"(0,1,3,4,5,6,7,8,9,14)",0.675,0.87568
